train_vector_count;layers;batch_size;decay_rate;momentum;learning_decay_rate;clip_value;ACCURACY;total_time_milliseconds;epochs;time
10;[784, 128, 16, 10];128;0.0;0.0;500.0;5.0;0.1358;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;500.0;1.0;0.1356;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;1000.0;5.0;0.1356;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;1000.0;1.0;0.1354;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;500.0;5.0;0.1362;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;500.0;1.0;0.1362;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;1000.0;5.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;1000.0;1.0;0.1362;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;500.0;5.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;500.0;1.0;0.1366;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;1000.0;5.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;1000.0;1.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;500.0;5.0;0.1367;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;500.0;1.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;1000.0;5.0;0.1363;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;1000.0;1.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;500.0;5.0;0.1356;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;500.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;1000.0;5.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;1000.0;1.0;0.136;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;500.0;5.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;500.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;1000.0;5.0;0.1347;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.0;1000.0;1.0;0.1364;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;500.0;5.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;500.0;1.0;0.1361;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;1000.0;5.0;0.1349;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.0;1000.0;1.0;0.1362;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;500.0;5.0;0.1365;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;500.0;1.0;0.1368;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;1000.0;5.0;0.137;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.8;1000.0;1.0;0.1373;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;500.0;5.0;0.1348;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;500.0;1.0;0.1353;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;1000.0;5.0;0.1352;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.8;1000.0;1.0;0.1355;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;500.0;5.0;0.1316;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;500.0;1.0;0.1381;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;1000.0;5.0;0.1357;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.01;0.9;1000.0;1.0;0.139;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;500.0;5.0;0.1332;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;500.0;1.0;0.1352;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;1000.0;5.0;0.1346;NULL;NULL;NULL
10;[784, 128, 16, 10];128;0.0;0.9;1000.0;1.0;0.1378;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.3617;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.3813;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.3841;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.3857;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.3899;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.3996;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.398;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.3935;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.3956;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.3944;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.3946;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.3956;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.3971;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.3973;NULL;NULL;NULL
